Tempo (anos),Altitude (km),Velocidade (km/s),Arrasto (N)
0.0000,399.9952,7.672321,4.5374e-4
0.0383,399.9828,7.672328,5.7850e-4
0.0575,399.9766,7.672331,5.7855e-4
0.0958,399.9643,7.672338,5.7864e-4
0.1342,399.9519,7.672345,5.7874e-4
0.1725,399.9396,7.672352,5.7884e-4
0.1916,399.9334,7.672356,5.7889e-4
0.2300,399.9210,7.672363,5.7898e-4
0.2683,399.9087,7.672370,5.7908e-4
0.3066,399.8963,7.672377,5.7918e-4
0.3258,399.8901,7.672380,5.7922e-4
0.3641,399.8777,7.672387,5.7932e-4
0.4025,399.8654,7.672394,5.7942e-4
0.4408,399.8530,7.672401,5.7951e-4
0.4600,399.8468,7.672405,5.7956e-4
0.4983,399.8344,7.672412,5.7966e-4
0.5366,399.8221,7.672419,5.7976e-4
0.5749,399.8097,7.672426,5.7985e-4
0.5941,399.8035,7.672429,5.7990e-4
0.6324,399.7911,7.672436,5.8000e-4
0.6708,399.7787,7.672443,5.8010e-4
0.7091,399.7663,7.672450,5.8019e-4
0.7283,399.7602,7.672454,5.8024e-4
0.7666,399.7478,7.672461,5.8034e-4
0.8049,399.7354,7.672468,5.8043e-4
0.8241,399.7292,7.672471,5.8048e-4
0.8624,399.7168,7.672478,5.8058e-4
0.9008,399.7044,7.672485,5.8068e-4
0.9391,399.6920,7.672492,5.8077e-4
0.9582,399.6858,7.672496,5.8082e-4
0.9966,399.6734,7.672503,5.8092e-4
1.0349,399.6610,7.672510,5.8102e-4
1.0732,399.6486,7.672517,5.8112e-4
1.0924,399.6424,7.672521,5.8116e-4
1.1307,399.6300,7.672528,5.8126e-4
1.1691,399.6176,7.672535,5.8136e-4
1.2074,399.6051,7.672542,5.8146e-4
1.2266,399.5989,7.672545,5.8151e-4
1.2649,399.5865,7.672552,5.8160e-4
1.3032,399.5741,7.672559,5.8170e-4
1.3415,399.5617,7.672566,5.8180e-4
1.3607,399.5555,7.672570,5.8185e-4
1.3990,399.5430,7.672577,5.8194e-4
1.4374,399.5306,7.672584,5.8204e-4
1.4757,399.5182,7.672591,5.8214e-4
1.4949,399.5120,7.672594,5.8219e-4
1.5332,399.4996,7.672602,5.8229e-4
1.5715,399.4871,7.672609,5.8238e-4
1.5907,399.4809,7.672612,5.8243e-4
1.6290,399.4685,7.672619,5.8253e-4
1.6674,399.4560,7.672626,5.8263e-4
1.7057,399.4436,7.672633,5.8273e-4
1.7248,399.4374,7.672637,5.8277e-4
1.7632,399.4249,7.672644,5.8287e-4
1.8015,399.4125,7.672651,5.8297e-4
1.8398,399.4000,7.672658,5.8307e-4
1.8590,399.3938,7.672661,5.8312e-4
1.8973,399.3814,7.672668,5.8322e-4
1.9357,399.3689,7.672676,5.8331e-4
1.9740,399.3565,7.672683,5.8341e-4
1.9932,399.3502,7.672686,5.8346e-4
2.0315,399.3378,7.672693,5.8356e-4
2.0698,399.3253,7.672700,5.8366e-4
2.1081,399.3129,7.672707,5.8376e-4
2.1273,399.3066,7.672711,5.8380e-4
2.1656,399.2942,7.672718,5.8390e-4
2.2040,399.2817,7.672725,5.8400e-4
2.2423,399.2692,7.672732,5.8410e-4
2.2615,399.2630,7.672736,5.8415e-4
2.2998,399.2505,7.672743,5.8425e-4
2.3381,399.2380,7.672750,5.8435e-4
2.3573,399.2318,7.672753,5.8439e-4
2.3956,399.2193,7.672760,5.8449e-4
2.4339,399.2069,7.672767,5.8459e-4
2.4723,399.1944,7.672774,5.8469e-4
2.4914,399.1881,7.672778,5.8474e-4
2.5298,399.1757,7.672785,5.8484e-4
2.5681,399.1632,7.672792,5.8494e-4
2.6064,399.1507,7.672799,5.8504e-4
2.6256,399.1444,7.672803,5.8508e-4
2.6639,399.1319,7.672810,5.8518e-4
2.7023,399.1195,7.672817,5.8528e-4
2.7406,399.1070,7.672824,5.8538e-4
2.7598,399.1007,7.672828,5.8543e-4
2.7981,399.0882,7.672835,5.8553e-4
2.8364,399.0757,7.672842,5.8563e-4
2.8747,399.0632,7.672849,5.8573e-4
2.8939,399.0570,7.672852,5.8578e-4
2.9322,399.0445,7.672859,5.8587e-4
2.9706,399.0319,7.672866,5.8597e-4
3.0089,399.0194,7.672874,5.8607e-4
3.0281,399.0132,7.672877,5.8612e-4
3.0664,399.0007,7.672884,5.8622e-4
3.1047,398.9882,7.672891,5.8632e-4
3.1239,398.9819,7.672895,5.8637e-4
3.1622,398.9694,7.672902,5.8647e-4
3.2005,398.9569,7.672909,5.8657e-4
3.2389,398.9443,7.672916,5.8667e-4
3.2580,398.9381,7.672920,5.8672e-4
3.2964,398.9255,7.672927,5.8682e-4
3.3347,398.9130,7.672934,5.8692e-4
3.3730,398.9005,7.672941,5.8701e-4
3.3922,398.8942,7.672945,5.8706e-4
3.4305,398.8817,7.672952,5.8716e-4
3.4689,398.8692,7.672959,5.8726e-4
3.5072,398.8566,7.672966,5.8736e-4
3.5264,398.8504,7.672969,5.8741e-4
3.5647,398.8378,7.672977,5.8751e-4
3.6030,398.8253,7.672984,5.8761e-4
3.6413,398.8127,7.672991,5.8771e-4
3.6605,398.8065,7.672994,5.8776e-4
3.6988,398.7939,7.673001,5.8786e-4
3.7372,398.7814,7.673009,5.8796e-4
3.7755,398.7688,7.673016,5.8806e-4
3.7947,398.7625,7.673019,5.8811e-4
3.8330,398.7500,7.673026,5.8821e-4
3.8713,398.7374,7.673033,5.8831e-4
3.8905,398.7311,7.673037,5.8836e-4
3.9288,398.7186,7.673044,5.8846e-4
3.9671,398.7060,7.673051,5.8856e-4
4.0055,398.6935,7.673058,5.8866e-4
4.0246,398.6872,7.673062,5.8871e-4
4.0630,398.6746,7.673069,5.8881e-4
4.1013,398.6620,7.673076,5.8891e-4
4.1396,398.6495,7.673083,5.8901e-4
4.1588,398.6432,7.673087,5.8906e-4
4.1971,398.6306,7.673094,5.8916e-4
4.2355,398.6180,7.673101,5.8926e-4
4.2738,398.6055,7.673108,5.8936e-4
4.2930,398.5992,7.673112,5.8941e-4
4.3313,398.5866,7.673119,5.8951e-4
4.3696,398.5740,7.673126,5.8961e-4
4.4079,398.5614,7.673133,5.8971e-4
4.4271,398.5551,7.673137,5.8976e-4
4.4654,398.5425,7.673144,5.8986e-4
4.5038,398.5299,7.673151,5.8996e-4
4.5421,398.5173,7.673158,5.9006e-4
4.5613,398.5110,7.673162,5.9011e-4
4.5996,398.4985,7.673169,5.9021e-4
4.6379,398.4859,7.673176,5.9031e-4
4.6571,398.4796,7.673180,5.9036e-4
4.6954,398.4670,7.673187,5.9046e-4
4.7337,398.4543,7.673194,5.9056e-4
4.7721,398.4417,7.673201,5.9066e-4
4.7912,398.4354,7.673205,5.9071e-4
4.8296,398.4228,7.673212,5.9081e-4
4.8679,398.4102,7.673219,5.9091e-4
4.9062,398.3976,7.673226,5.9101e-4
4.9254,398.3913,7.673230,5.9106e-4
4.9637,398.3787,7.673237,5.9116e-4
5.0021,398.3661,7.673244,5.9127e-4
5.0404,398.3534,7.673251,5.9137e-4
5.0595,398.3471,7.673255,5.9142e-4
5.0979,398.3345,7.673262,5.9152e-4
5.1362,398.3219,7.673269,5.9162e-4
5.1745,398.3093,7.673276,5.9172e-4
5.1937,398.3029,7.673280,5.9177e-4
5.2320,398.2903,7.673287,5.9187e-4
5.2704,398.2777,7.673294,5.9197e-4
5.3087,398.2650,7.673301,5.9207e-4
5.3279,398.2587,7.673305,5.9212e-4
5.3662,398.2461,7.673312,5.9222e-4
5.4045,398.2334,7.673319,5.9233e-4
5.4237,398.2271,7.673323,5.9238e-4
5.4620,398.2145,7.673330,5.9248e-4
5.5003,398.2018,7.673337,5.9258e-4
5.5387,398.1892,7.673344,5.9268e-4
5.5578,398.1829,7.673348,5.9273e-4
5.5962,398.1702,7.673355,5.9283e-4
5.6345,398.1576,7.673362,5.9293e-4
5.6728,398.1449,7.673369,5.9303e-4
5.6920,398.1386,7.673373,5.9308e-4
5.7303,398.1259,7.673380,5.9319e-4
5.7687,398.1132,7.673387,5.9329e-4
5.8070,398.1006,7.673394,5.9339e-4
5.8261,398.0943,7.673398,5.9344e-4
5.8645,398.0816,7.673405,5.9354e-4
5.9028,398.0689,7.673412,5.9364e-4
5.9411,398.0562,7.673419,5.9374e-4
5.9603,398.0499,7.673423,5.9379e-4
5.9986,398.0372,7.673430,5.9390e-4
6.0370,398.0246,7.673437,5.9400e-4
6.0753,398.0119,7.673445,5.9410e-4
6.0945,398.0055,7.673448,5.9415e-4
6.1328,397.9929,7.673455,5.9425e-4
6.1711,397.9802,7.673463,5.9435e-4
6.1903,397.9738,7.673466,5.9440e-4
6.2286,397.9612,7.673473,5.9451e-4
6.2669,397.9485,7.673481,5.9461e-4
6.3053,397.9358,7.673488,5.9471e-4
6.3244,397.9294,7.673491,5.9476e-4
6.3628,397.9167,7.673499,5.9486e-4
6.4011,397.9040,7.673506,5.9497e-4
6.4394,397.8913,7.673513,5.9507e-4
6.4586,397.8850,7.673517,5.9512e-4
6.4969,397.8723,7.673524,5.9522e-4
6.5352,397.8596,7.673531,5.9532e-4
6.5736,397.8469,7.673538,5.9542e-4
6.5927,397.8405,7.673542,5.9548e-4
6.6311,397.8278,7.673549,5.9558e-4
6.6694,397.8151,7.673556,5.9568e-4
6.7077,397.8024,7.673563,5.9578e-4
6.7269,397.7960,7.673567,5.9583e-4
6.7652,397.7833,7.673574,5.9594e-4
6.8036,397.7706,7.673581,5.9604e-4
6.8419,397.7579,7.673589,5.9614e-4
6.8611,397.7515,7.673592,5.9619e-4
6.8994,397.7388,7.673599,5.9629e-4
6.9377,397.7261,7.673607,5.9640e-4
6.9569,397.7197,7.673610,5.9645e-4
6.9952,397.7070,7.673617,5.9655e-4
7.0335,397.6942,7.673625,5.9665e-4
7.0719,397.6815,7.673632,5.9676e-4
7.0910,397.6751,7.673635,5.9681e-4
7.1294,397.6624,7.673643,5.9691e-4
7.1677,397.6497,7.673650,5.9701e-4
7.2060,397.6369,7.673657,5.9711e-4
7.2252,397.6306,7.673661,5.9717e-4
7.2635,397.6178,7.673668,5.9727e-4
7.3018,397.6051,7.673675,5.9737e-4
7.3402,397.5923,7.673682,5.9747e-4
7.3593,397.5859,7.673686,5.9753e-4
7.3977,397.5732,7.673693,5.9763e-4
7.4360,397.5604,7.673701,5.9773e-4
7.4743,397.5477,7.673708,5.9783e-4
7.4935,397.5413,7.673711,5.9789e-4
7.5318,397.5285,7.673719,5.9799e-4
7.5702,397.5158,7.673726,5.9809e-4
7.6085,397.5030,7.673733,5.9820e-4
7.6277,397.4966,7.673737,5.9825e-4
7.6660,397.4839,7.673744,5.9835e-4
7.7043,397.4711,7.673751,5.9845e-4
7.7235,397.4647,7.673755,5.9850e-4
7.7618,397.4519,7.673762,5.9861e-4
7.8001,397.4392,7.673769,5.9871e-4
7.8385,397.4264,7.673776,5.9881e-4
7.8576,397.4200,7.673780,5.9887e-4
7.8960,397.4072,7.673787,5.9897e-4
7.9343,397.3944,7.673795,5.9907e-4
7.9726,397.3816,7.673802,5.9918e-4
7.9918,397.3753,7.673805,5.9923e-4
8.0301,397.3625,7.673813,5.9933e-4
8.0684,397.3497,7.673820,5.9944e-4
8.1068,397.3369,7.673827,5.9954e-4
8.1259,397.3305,7.673831,5.9959e-4
8.1643,397.3177,7.673838,5.9969e-4
8.2026,397.3049,7.673845,5.9980e-4
8.2409,397.2921,7.673853,5.9990e-4
8.2601,397.2857,7.673856,5.9995e-4
8.2984,397.2729,7.673864,6.0006e-4
8.3368,397.2601,7.673871,6.0016e-4
8.3751,397.2473,7.673878,6.0026e-4
8.3943,397.2409,7.673882,6.0032e-4
8.4326,397.2281,7.673889,6.0042e-4
8.4709,397.2152,7.673896,6.0052e-4
8.4901,397.2088,7.673900,6.0058e-4
8.5284,397.1960,7.673907,6.0068e-4
8.5667,397.1832,7.673914,6.0078e-4
8.6051,397.1704,7.673922,6.0089e-4
8.6242,397.1640,7.673925,6.0094e-4
8.6626,397.1512,7.673933,6.0104e-4
8.7009,397.1383,7.673940,6.0115e-4
8.7392,397.1255,7.673947,6.0125e-4
8.7584,397.1191,7.673951,6.0130e-4
8.7967,397.1063,7.673958,6.0141e-4
8.8350,397.0934,7.673965,6.0151e-4
8.8734,397.0806,7.673973,6.0162e-4
8.8925,397.0742,7.673976,6.0167e-4
8.9309,397.0613,7.673983,6.0177e-4
8.9692,397.0485,7.673991,6.0188e-4
9.0075,397.0356,7.673998,6.0198e-4
9.0267,397.0292,7.674002,6.0203e-4
9.0650,397.0164,7.674009,6.0214e-4
9.1034,397.0035,7.674016,6.0224e-4
9.1417,396.9907,7.674024,6.0235e-4
9.1608,396.9842,7.674027,6.0240e-4
9.1992,396.9714,7.674034,6.0250e-4
9.2375,396.9585,7.674042,6.0261e-4
9.2567,396.9521,7.674045,6.0266e-4
9.2950,396.9392,7.674053,6.0277e-4
9.3333,396.9264,7.674060,6.0287e-4
9.3717,396.9135,7.674067,6.0298e-4
9.3908,396.9071,7.674071,6.0303e-4
9.4292,396.8942,7.674078,6.0313e-4
9.4675,396.8813,7.674085,6.0324e-4
9.5058,396.8685,7.674093,6.0334e-4
9.5250,396.8620,7.674096,6.0339e-4
9.5633,396.8492,7.674104,6.0350e-4
9.6016,396.8363,7.674111,6.0360e-4
9.6400,396.8234,7.674118,6.0371e-4
9.6591,396.8170,7.674122,6.0376e-4
9.6975,396.8041,7.674129,6.0387e-4
9.7358,396.7912,7.674137,6.0397e-4
9.7741,396.7783,7.674144,6.0408e-4
9.7933,396.7719,7.674148,6.0413e-4
9.8316,396.7590,7.674155,6.0423e-4
9.8700,396.7461,7.674162,6.0434e-4
9.9083,396.7332,7.674169,6.0445e-4
9.9274,396.7267,7.674173,6.0450e-4
9.9658,396.7138,7.674180,6.0460e-4